word_help;id;ask;toask;Question;Шаг 1;Шаг 2;Шаг 3;Шаг 4;Шаг 5;Шаг 6;Шаг 7;Шаг 8;Шаг 9;Шаг 10;Шаг 11;Шаг 12;Шаг 13;Шаг 14
какой комиссия перевод номер телефон любой банк отправка ссылка;488;Платежи и переводы;По номеру телефона;Какая комиссия за переводы по номеру телефона в любой банк с отправкой ссылки;За переводы по номеру телефона в любой банк есть комиссия — 1,5% и не менее 50 рублей за один перевод. Для держателей дебетовых карт Opencard такие переводы бесплатные; ; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть полный реквизит платёж;490;Платежи и переводы;Реквизиты;Как посмотреть полные реквизиты платежа;После совершения перевода или платежа в окне информации о платеже нажмите «Показать детали»;Дополнительные данные о переводе (ФИО плательщика/адрес проживания/сумма долга и т.п.) отобразятся на экране;Чтобы сохранить квитанцию о платеже, нажмите «Квитанция»; ; ; ; ; ; ; ; ; ; ; 
я предварительно одобрить кредит мочь я он оформить онлайн;498;Кредиты;Спецпредложения;Мне предварительно одобрили кредит, могу ли я его оформить онлайн;Если вам предварительно одобрили кредит, предложение появится в разделе «Спецпредложения» в разделе «Мои продукты». У спецпредложений есть срок действий, он указан в нижнем левом углу. Чтобы оформть предварительно одобренный кредит, нажмите «Оформить онлайн»;Ознакомьтесь с одобренными условиями по кредиту;Если условия не подходят, нажите «Изменить» и выберите подходящие сумму и срок кредита;Процентная ставка на первый год снижена, так как по умолчанию пожключена услуга страхования. Если вам не нужно страхование — уберите галочку напротив пункта «Страхование»;Выберите из списка, куда зачислисть средства, дату выдачи кредита и внесения первого платежа. Нажмите «Далее»;Проверьте предзаполненные данные в анкете, внесите изменения, если необходимо и нажмите «Далее»;Подтвердите, что ввели правильные персональные данные. Если данные неверны — изменить их можно только в офитсе банка. Подтвердите другие условия для получения кредита, нажмите «Далее»;Готово. Дождитесь пока банк проверить ваши данные и сформирует документы;Договор подписан. Деньги поступят на карту или счет, указанные в заявке. Чтобы сохранить себе договор, нажмите «Скачать договор»; ; ; ; ; 
пополнить счёт эскроу;499;Счет эскроу;Пополнение ;Как пополнить счет эскроу;В блоке «Счета» в разделе «Мои продукты» выберите «Текущие». Выберите нужный счет эскроу и нажмите «Пополнить»;Выберите карту или счет, с которой хотите перевести деньги и подтвердите, что договор участия в долевом строительстве зарегистрирован;Введите сумму и нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку. Нажмите «Ок»; ; ; ; ; ; ; ; ; 
настроить автоматический пополнение накопительный счёт история операция;514;Накопительные счета;Автопополнение;Как настроить автоматическое пополнение накопительного счета из истории операций;Перейдите на экран «История операций» и перейдите в раздел «В интернет-банке» — снизу отобразится история операций по всем продуктам.;Найдите нужную операцию по накопительному счету и нажмите на нее.;Нажмите «Автоплатеж».;Введите сумму, придумайте название автоплатежа и укажите периодичность.;Нажмите «Сохранить» и введите SMS-код для подтверждения.; ; ; ; ; ; ; ; ; 
переименовать накопительный счёт;517;Накопительные счета;Переименование;Как переименовать накопительный счет;Перейдите в раздел «Мои продукты».;В разделе «Счета» нажмите «Накопительные».;Выберите нужный счет и нажмите знак карандаша справа от названия.;4. Введите новое название и нажмите «Сохранить».; ; ; ; ; ; ; ; ; ; 
узнать тариф накопительный счёт;519;Накопительные счета;Тарифы;Как узнать тариф по накопительному счету;Перейдите в раздел «Мои продукты».;В разделе «Счета» нажмите «Накопительные» и найдите нужный счет.;Нажмите «Показать операции и детали».;Нажмите «Тариф» — в новом окне браузера откроется документ в формате pdf с подробным описанием ставок и условий по накопительному счету. Его можно скачать или распечатать.; ; ; ; ; ; ; ; ; ; 
настроить шаблон пополнение накопительный счёт сразу пополнение;521;Накопительные счета;Шаблоны;Как настроить шаблон на пополнение накопительного счета сразу после пополнения;На последнем экране после пополнения счета нажмите «Шаблон».;Придумайте название шаблона и нажмите «Сохранить».;Шаблон создан и отображается на экране «Мои продукты» в разделе «Шаблоны». С шаблоном вам не придется каждый раз вводить данные для пополнения накопительного счета, просто нажмите на шаблон ? «Перевести».; ; ; ; ; ; ; ; ; ; ; 
настроить шаблон пополнение накопительный счёт история операция;523;Накопительные счета;Шаблоны;Как настроить шаблон на пополнение накопительного счета из истории операций;Перейдите на экран «История операций» и перейдите в раздел «В интернет-банке» — снизу отобразится история операций по всем продуктам.;Найдите нужную операцию по накопительному счету и нажмите на нее.;Нажмите «Шаблон».;Придумайте название шаблона и нажмите «Сохранить».;Шаблон создан и отображается на экране «Мои продукты» в разделе «Шаблоны». С шаблоном вам не придется каждый раз вводить данные для пополнения накопительного счета, просто нажмите на шаблон ? «Перевести».; ; ; ; ; ; ; ; ; 
создать автоплатёж автоматический оплата сотовый связь снижение баланс;541;Автоплатежи;Сотовая связь;Как создать автоплатеж для автоматической оплаты сотовой связи при снижении баланса;Оплатите сотовую связь. После совершения операции нажмите «Автоплатеж».   Или откройте историю операций, нажмите на нужный платеж с оплатой сотовой связи, а затем также — «Автоплатеж».;Выберите вкладку «При снижении баланса»;Введите название автоплатежа;Укажите при каком балансе на телефоне должен совершаться автоплатеж;Укажите максимальную сумму, которая может быть зачислена на баланс;Введите сумму автоплатежа, которая должна зачисляться каждый раз при минимальном балансе;Нажмите «Подключить»;Введите SMS-код для подтверждения;Заявка на создание автоплатежа принята. Как только автоплатеж будет подключен, вы получите уведомление.; ; ; ; ; 
прикрепить докумена оформление кредит наличные онлайн;542;Кредит наличными;Отправка документов;Как прикрепить докумены при оформлении кредита наличными онлайн;На вкладке «Мои продукты» в разделе «Проверка документов» нажмите «Прикрепить»;Подготовьте все документе из списка:   — скан или фото паспорта гражданина РФ  — фотографию, сделанную не больше чем 3 месяца назад  — справку о доходе или выписку по зарплатной карте;Нажмите «Отправить». При нажатии сформируется электронное письмо, тема и адресат письма подставятся автоматически. Проверьте, что в тема письма указаны ваши ФИО. Прикрепите файлы с документами к письму и отправьте его.;Вернитесь в интернет-банк и подтвердите, что отправили письмо — нажмите «Подтвердить».;Мы проверяем ваши данные и формируем документы. После проверки сотрудник банка свяжетяс с вами и расскажет, что делать дальше.; ; ; ; ; ; ; ; ; 
подписать договор оформление кредит наличные онлайн;543;Кредит наличными;Договор;Как подписать договор при оформлении кредита наличными онлайн;На вкладке «Мои продукты» в разделе «Проверка документов» нажмите «Ознакомиться»;Согласитесь с условиями и тарифами;Скачайте договор и ознакомьтесь с ним;Нажмите «Подтвердить» и введите SMS-код для подтверждения;Готово. Кредит наличными поступит на вашу дебетовую карту; ; ; ; ; ; ; ; ; 
оформить классический стратегия доверительный управление ук открытие;545;Стратегии доверительного управления;открытие ;Как оформить классическую стратегию доверительного управления в УК «Открытие»;Перейдите на вкладку «Инвестиции»;Выберите стратегию доверительного управления: «ИИС Сберегательная», «ИИС Сбалансированная»;Чтобы узнать о стратегии подробнее, нажмите «Описание стратегии» в нижнем левом углу карточки стратегии. Чтобы подробнее узнать об индивидуальнои инвестиционном счете, нажмите «Подробнее об ИИС»;Нажмите «Открыть» на карточке стратегии, которую выбрали;Введите адрес электронной почты и нажмите «Далее»;Ознакомьтесь в документами:   — Уведомление при предложении финансовых услуг ПАО Банк «ФК Открытие»  — Согласие на обработку персональных данных УК «Открытие»   — Соглашение об электронном документообороте с УК «Открытие»    Нажмите «Далее»;Проверьте ваши данные: ФИО, телефон, адрес регистрации, серию и номер паспорта. Нажмите «Подтверждаю».;Ознакомьтесь с документами. Чтобы подписать — введите SMS-код.     Подписанные документы отправим на электронную почту, которую вы указали в заявке.;Стратегия успешно оформлена. Теперь вы можете ее пополнить.; ; ; ; ; 
оформить стратегия доверительный управление ук открытие защита капитал;546;Стратегии доверительного управления;открытие ;Как оформить стратегию доверительного управления в УК «Открытие» с защитой капитала;Перейдите на вкладку «Инвестиции»;Выберите стратегию доверительного управления: «Структурированная», «Купонная»;Чтобы узнать о стратегии подробнее, нажмите «Описание стратегии» в нижнем левом углу карточки стратегии. Чтобы подробнее узнать об индивидуальнои инвестиционном счете, нажмите «Подробнее об ИИС», о базовых активах — нажмите «О базовых активах»;Укажите, хотите ли оформлять стратегию на базе ИИС. Если нет — уберите галочку напротив;Выберите базовые активы и срок и нажмите «Открыть»;Введите адрес электронной почты и нажмите «Далее»;Ознакомьтесь в документами:   — Уведомление при предложении финансовых услуг ПАО Банк «ФК Открытие»  — Согласие на обработку персональных данных УК «Открытие»   — Соглашение об электронном документообороте с УК «Открытие»    Нажмите «Далее»;Проверьте ваши данные: ФИО, телефон, адрес регистрации, серию и номер паспорта. Нажмите «Подтверждаю».;Подтвердите соответствие параметрам инвестиционного профиля — заполните анкету и нажмите «Подтверждаю»;Ознакомьтесь с документами. Чтобы подписать — введите SMS-код.    Подписанные документы отправим на электронную почту, которую вы указали в заявке.;Стратегия успешно оформлена. Теперь вы можете ее пополнить.; ; ; 
пополнить стратегия доверительный управление;547;Стратегии доверительного управления;Пополнение ;Как пополнить стратегию доверительного управления;На вкладке «Инвестиции» найдите раздел «Ваши продукты «УК Открытиек» и нажмите пополнить в нижнем левом углу раздела;На экране «Пополнение счета» в поле «Куда» выберите «УК Открытие» и стратегию, которую хотите пополнить»;Выберите, откуда списать деньги, укажите сумму пополнения и нажмите «Пополнить»;После пополнения стратегия отобразится на вкладке «Мои продукты» и «Инвестиции»; ; ; ; ; ; ; ; ; ; 
фильтровать продукт вкладка инвестиция;548;Инвестиции;Фильтры;Как фильтровать продукты на вкладке «Инвестиции»;Перейдите на вкладку «Инвестиции»;Нажмите значок рядом с полем «Категории»;Выберите категорию продуктов, которые хотите видеть: брокерские счета или стратегии доверительного управления;Нажмите «Сохранить»; ; ; ; ; ; ; ; ; ; 
посмотреть контакт поддержка клиент статус премиум;549;Премиум;Поддержка;Как посмотреть контакты поддержки для клиентов статуса Премиум;Нажмите на значок статуса «Премиум» рядом с именем вверху интернет-банка;Справа отображается блок «Премиум-поддержка» и основной номер для консультаций по банковским продуктами сервисам. Чтобы посмотреть другие контакты, нажмите «Все контакты»;В новом окне «Контакты» отобразится номера для связи с консьерж-сервисом, АО «Открытие Брокер» и УК «Открытие»;Нажимайте на стрелки, чтобы посмотреть график работы поддержки; ; ; ; ; ; ; ; ; ; 
посмотреть контакт поддержка клиент статус light премиум;550;Light Премиум;Поддержка;Как посмотреть контакты поддержки для клиентов статуса Light Премиум;Нажмите на значок статуса Light Премиум рядом с именем вверху интернет-банка;Справа отображается блок «Премиум-поддержка» и основной номер для консультаций по банковским продуктами сервисам. Чтобы посмотреть другие контакты, нажмите «Все контакты»;В новом окне «Контакты» отобразится номера для связи с консьерж-сервисом, АО «Открытие Брокер» и УК «Открытие»;Нажимайте на стрелки, чтобы посмотреть график работы поддержки; ; ; ; ; ; ; ; ; ; 
посмотреть привилегия доступный статус премиум;551;Премиум;Привилегии;Как посмотреть привилегии, доступные статусу Премиум;Нажмите на значок статуса «Премиум» рядом с именем вверху интернет-банка;Доступные привилегии отображаются на вкладке «Мои привилегии». Всего для статуса Премиум доступно 15 привилегий в трех категориях:  — специальные условия по продуктам банка  — бесплатно для Премиум  — lifestyle-привилегии;Пролистайте список вниз, чтобы ознакомиться с привилегиями во всех категорях. Нажмите на привилегию, чтобы узнать о ней подробнее и воспользоваться — информация отобразится в окне справа.; ; ; ; ; ; ; ; ; ; ; 
посмотреть привилегия доступный статус light премиум;552;Light Премиум;Привилегии;Как посмотреть привилегии, доступные статусу Light Премиум;Нажмите на значок статуса Light Премиум рядом с именем вверху интернет-банка;Доступные привилегии отображаются на вкладке «Мои привилегии». Всего для статуса Light Премиум доступно 11 привилегий в трех категориях:  — специальные условия по продуктам банка  — бесплатно для Light Премиум  — lifestyle-привилегии;Пролистайте список вниз, чтобы ознакомиться с привилегиями во всех категорях. Нажмите на привилегию, чтобы узнать о ней подробнее и воспользоваться — информация отобразится в окне справа.;Иконкой замка отмечены привилегии, которые станут доступны после перехода на статус Премиум. Чтобы посмотреть все привилегии, которые станут доступны после перехода на статус Премиум, поставьте галочку вверху списка напротив поля «Показать привилегии, доступные только для клиентов со статусом Премиум»; ; ; ; ; ; ; ; ; ; 
посмотреть тариф статус премиум;553;Премиум;Тарифы;Как посмотреть тариф для статуса Премиум;Нажмите на значок статуса «Премиум» рядом с именем вверху интернет-банка;Слева сверху в новом окне нажмите на голубой значок информации рядом с названием статуса;Нажмите «Посмотреть тарифы»;В новом окне откроется документы сподрбным описанием тарифа для статуса Премиум; ; ; ; ; ; ; ; ; ; 
посмотреть тариф статус light премиум;554;Light Премиум;Тарифы;Как посмотреть тариф для статуса Light Премиум;Нажмите на значок статуса Light Премиум рядом с именем вверху интернет-банка;Слева сверху в новом окне нажмите на голубой значок информации рядом с названием статуса;Нажмите «Посмотреть тарифы»;В новом окне откроется документы сподрбным описанием тарифа для статуса Light Премиум; ; ; ; ; ; ; ; ; ; 
получить доступ привилегияий статус премиум я статус light премиум;555;Light Премиум;Повышение статуса;Как получить доступ к привилегияим статуса Премиум, если у меня статус Light Премиум;Чтобы получить доступ к привилегиям статуса Премиум нужно пополнить счета «Открытия» до 3 миллионов рублей;Нажмите на значок статуса Light Премиум вверху экрана;На вкладке «Мои привилегии» выберите и нажмите на любую привелегию с иконкой замка;В окне справа отобразится подробная информация о привилегии, а также условия для перехода на статус Премиум. Нажмите «Стать премиум»;В новом окне отобразится экран «Пополнение счета». Нажмите «Пополнить», если хотите пополнить счет «Открытия» с карты другого банка по номеру, нажмите «Посмотреть реквизиты», если хотите перевести деньги по реквизитам;Статус изменится автоматически в течение пяти рабочих дней с момента необходимой поступления суммы на счет. Ускорить его смену можно через персонального менеджера.; ; ; ; ; ; ; ; 
посмотреть условие бесплатный страхование статус премиум;556;Премиум;Страхование;Как посмотреть условиями бесплатного страхования для статуса Премиум;Нажмите на значок статуса «Премиум» рядом с именем вверху интернет-банка;Перейдите в раздел Lifestyle-привилегии на вкладке «Мои привилегии»;Нажмите на привилегию «Бесплатное страхование до 163 000 € в путешествиях для всей семьи»;В окне справа нажмите «Ознакомиться с условиями»;В новой вкладке браузера откроется докуимент с подробными условиями бесплатного страхования; ; ; ; ; ; ; ; ; 
посмотреть условие бесплатный страхование статус light премиум;557;Light Премиум;Страхование;Как посмотреть условиями бесплатного страхования для статуса Light Премиум;Нажмите на значок статуса Light Премиум рядом с именем вверху интернет-банка;Перейдите в раздел Lifestyle-привилегии на вкладке «Мои привилегии»;Нажмите на привилегию «Бесплатное страхование до 163 000 € в путешествиях для всей семьи»;В окне справа нажмите «Ознакомиться с условиями»;В новой вкладке браузера откроется докуимент с подробными условиями бесплатного страхования; ; ; ; ; ; ; ; ; 
зарегистрироваться интернет банк номер телефон я нет карта;560;Регистрация;по номеру телефона;Как зарегистрироваться в интернет-банке по номеру телефона, если у меня нет карты;Зайдите на сайт ib.open.ru и нажмите «Регистрация»;В новом окне нажмите «У меня нет карты банка»;Введите номер телефона, дату рождения и согласитесь с правилами использования интернет-банка. Нажмите «Далее»;Введите код из SMS-сообщения;Придумайте логин, пароль, повторите пароль и нажмите «Готово»;Вы успешно зарегистрировались. Для входа в интернет-банка нажмите «Войти в интернет-банк»; ; ; ; ; ; ; ; 
обменять валюта нет валютный счёт;561;Обмен валют;Без валютного счета;Как обменять валюту, если нет валютного счета;Наведите курсор мыши на курсы валют, они отображаются в верхней части экрана, под вашим именем;В появившемся окне нажмите «Открыть валютный счет»;Выберите валюту и сумму первоначального пополнения.;Нажмите «Выбрать».;Выберите источник пополнения.;Нажмите «Открыть счет».;Введите код из SMS.;После совершения платежа можно создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию. После подтверждения операции фактическое списание и зачисление средств отобразится на счетах в течение 5 минут.; ; ; ; ; ; 
воспользоваться подборщик инвестиционный продукт;581;Инвестиции;Подборщик;Как воспользоваться подборщиком инвестиционных продуктов;Перейдите на вкладку «Инвестиции»;Нажмите «Не знаете, с чего начать?»;Нажмите «Подобрать»;Ответье на предложенные вопросы. По итогам опроса мы предложим вам подходящий ивестиционный продукт.;Нажмите «Перейти к продукту», чтобы узнать о подобранном продукте подобренее и, при желании, перейти к его оформлению.;Подобранные продукты можно будет найти позже в категории «Решения для меня» на вкладке «Инвестиции»; ; ; ; ; ; ; ; 
создать шаблон совершать перевод;582;Шаблоны;Создание с нуля;Как создать шаблон не совершая перевод;Перейдите на вкладку «Мои продукты» или «Платежи и переводы»;В разделе «Шаблоны» в верхней части экрана нажмите на кнопку с иконкой «+»;Выберите, для какого платежа или перевода хотите создать шаблон. Можно выбрать категорию из списка или использовать поиск по названию или ИНН;Введите данные платежа или перевода, укажите сумму и введите название шаблона;Если хотите просто сохранить шаблон, нажмите «Сохранить шаблон». Если хотите сохранить шаблон и одновременно совершить платеж по нему, нажмите «Сохранить и оплатить»;Для оплаты еще раз введите сумму платежа и нажмите «Оплатить»;Подвтердите оплату SMS-кодом; ; ; ; ; ; ; 
настроить ежедневный автоплатёж;583;Автоплатежи;по расписанию;Как настроить ежедневный автоплатеж;После совершения платежа или перевода нажмите «Автоплатеж»;На вкладке «По расписанию» введите название автоплатежа и сумму;В после «Повторять» выберите «Ежедневно»;Выберите, сколько автоплатеж должен действовать: бессрочно, до определенной даты или один раз;Нажмите сохранить;Подтвердите создание автоплатежа SMS-кодом;Автоплатеж создан. Посмотреть, изменить или удалить его можно в разделе «Автоплатежи» во вкладках «Мои продукты», «Переводы» и «Платежи»; ; ; ; ; ; ; 
скачать график платёж кредит;584;Кредиты;График платежей;Как скачать график платежей по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «График платежей»;В новом окне появится график платежей. Нажмите «Скачать», чтобы сохранить график в pdf-файле — документ автоматически скачаетсчя и сохранится на ваше устройство; ; ; ; ; ; ; ; ; ; ; ; 
скачать график платёж ипотека;585;Ипотека;График платежей;Как скачать график платежей по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «График платежей»;В новом окне появится график платежей. Нажмите «Скачать», чтобы сохранить график в pdf-файле — документ автоматически скачаетсчя и сохранится на ваше устройство; ; ; ; ; ; ; ; ; ; ; ; 
изменить автоплатёж;586;Автоплатежи;Изменение;Как изменить автоплатеж;Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.;Выберите нужный автоплатеж и нажмите на него;Нажмите на иконку карандаша справа от названия автоплатежа;Внестие необходимые измнения и нажмите «Сохранить»;Автоплатеж сохранен; ; ; ; ; ; ; ; 
удалить автоплатёж;587;Автоплатежи;Удаление ;Как удалить автоплатеж;Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.;Найдите нужный автоплатеж в списке;Нажмите на иконку корзины справа от названия автоплатежа;Нажимите «Удалить»;Автоплатеж удален; ; ; ; ; ; ; ; 
оформить виртуальный карта;588;Виртуальная карта;открытие ;Как оформить виртуальную карту;На вкладке «Мои продукты» в разделе карты нажмите «Оформить карту».     Примечание: Карту можно оформить в рублях, долларах и евро. Выпуск карты — 99 рублей, комиссия будет списана после первой оплаты картой. Срок действия карты — 8 лет.    Для виртуальной карты доступны те же услуги, что и для пластиковой, кроме перевыпуска. Виртуальную карту удобнее всего использовать для оплаты услуг в интернете, но ей также можно расплачиваться в обычных магазинах с помощью смартфона с функцией NFC — бесконтактной оплаты. Для этого карту нужно добавить в электронный кошелек — в Apple Pay, Samsung Pay или Google play.;В слайдере в новом окне выберите «Виртуальная Opencard»;Нажмите «Оформить онлайн»;Выберите валюту, платежную систему и ознакомьтесь с условиями оформления и обслуживания карты;Нажмите «Оформить»;Заявка на оформление карты отправлена. Выпуск карты занимает 1—2 минуты. Когда карта будет выпущена, вы получите SMS-сообщение, а карта отобразится на вкладке «Мои продукты»; ; ; ; ; ; ; ; 
активировать виртуальный карта;589;Виртуальная карта;Активация;Как активировать виртуальную карту;На вкладке «Мои продукты» в разделе «Карты» найдите виртуальную карту;Нажмите «Активировать»;Придумайте и подтвердите PIN-код;Нажмите «Сохранить»;Введите SMS-код для подтверждения активации карты;Карта активирована. Вы можете ее пополнить с карты «Открытия» или другого банка, посмотреть ее реквизиты и добавить в Apple Pay или Google Pay; ; ; ; ; ; ; ; 
оформить рефинансирование кредитный карта другой банк;591;Карты;Кредитные карты;Как оформить рефинансирование кредитной карты другого банка;На вкладке «Мои продукты» в разделе «Карты» выберите кредитную карту «Открытия», с которой хотите рефинансировать кредитную карту другого банка;Нажмите «Еще»;Выберите «Рефинансировать другую карту»;Ознакомьтесь, как работает рефинансирование и нажмите «Рефинансировать»;Укажите номер кредитной карты, которую хотите рефинансировать, введите сумму задолдженнности, которую нужно погасить и нажмите «Перевести»;Введите SMS-код для подтверждения операции;Деньги в зависимости от банка получателя зачислятся на счет в срок от нескольких минут до нескольких дней.     Банк не возьмет комиссию за перевод, если в течение 90 дней после рефинансирования, вы закроете кредитную карту другого банка и расторгните договор. Если этого не сделать комиссия составит 3,9% от суммы перевода плюс 390 рублей.; ; ; ; ; ; ; 
оплатить детский сад снилс;592;Платежи и переводы;Образовательные учреждения;Как оплатить детский сад по СНИЛС;Перейдите на вкладку «Платежи и переводы»;В разделе «Платежи» выберите «Образовательные учреждения».;Выберите «Оплата детских садов по СНИЛС».;Нажмите «Добавить СНИЛС»;Нажмите «Сохранить и проверить»;Нажмите на счет в разделе «Выставленные счета»;Нажмите «Оплатить»;После автоматически будут создана подписка на новые счета от детского сада по СНИЛС. Все новые счета будут отображаться в разделе «Счета на оплату» в верхней части экрана; ; ; ; ; ; 
посмотреть какой курс пройти валютный операция карта;593;Карты;Валютные операции;Как посмотреть по какому курсу прошла валютная операция по карте;Курс конвертации можно посмотреть для переводов между счетами и картами;Перейдите в раздел «История операций» и найдите нужную валютную операцию по карте;Нажмите на вопрос рядом с сумой операции — отобразится сумма операции в валюте и курс конвертации. Также информация отображается на экране деталей по операции; ; ; ; ; ; ; ; ; ; ; 
посмотреть номер карта;614;Карты;Реквизиты;Как посмотреть номер карты;На вкладке «Мои продукты» в разделе «Карты» найдите нужную карту;Нажмите «Реквизиты»;В новом окне отобразится номер и другие реквизиты карты — срок действия, имя держателя карты и код CVC/CVV;Для безопасности номер карты отображается не полностью. Чтобы посмотреть его полностью и скопировать, нажмите на иконку «глаза» справа;Введите SMS-код для подтверждения;Номер карты отобразится полностью и автоматически скопируется в буфер обмена; ; ; ; ; ; ; ; 
